ADDRESS,DOB,EMAIL,GENDER,ID,NAME,PHONE
702 Nguyen Van Linh,2013-01-05,anna@gmail.com,true,lead_001,Anna,09029332
100 Tran Phu,1950-02-27,jon@gmail.com,true,lead_002,Jon,09232332
423 Vo Van Tan,2009-04-27,jess@gmail.com,true,lead_003,Jess,09234332
123 Hoang Sa,1980-09-25,sam@gmail.com,true,lead_004,Sam,09234312
397 Cao Thang,2015-04-17,ken@gmail.com,true,lead_005,Ken,09544332
544 Nguyen Dinh Chieu,1988-06-14,bob@gmail.com,true,lead_006,Bob,09546232
333 Tran Hung Dao,1973-04-09,bill@gmail.com,true,lead_007,Bill,09544332
32 Hai Ba Trung,1991-03-07,amy@gmail.com,true,lead_008,Amy,09544332
331 Dinh Tien Hoang,1940-02-03,han@gmail.com,true,lead_009,Han,09544332
231 Ly Chinh Thang,2001-11-27,chris@gmail.com,true,lead_010,Chris,09544332
Q1,2016-02-02,b@gmail.com,true,lead_011,Teddy,0987654321
